KG-Nummer|Bezeichnung / Beschreibungen|Menge|Einheit|KKW [€]|Kosten [€]
100|Grundstück|1043.00|GF|0.00|0.00
200|Vorbereitende Maßnahmen|1043.00|GF|60.00|62580.00
210|Herrichten|1043.00|GF|40.00|41720.00
230|Nichtöffentliche Erschließung Erschließungsarbeiten von der Straße zum Grundstück|1043.00|GF|20.00|20860.00
300|Bauwerk - Baukonstruktionen|756.00|BGF|1341.81|1014410.00
310|Baugrube / Erdbau bestehendes Gelände ausheben und an anderer Stelle mit tragfähigem Boden aufschütten; sichern mit Stützmauer; Wasserspeichervertiefung ausheben|1070.00|m³|40.00|42800.00
320|Gründung, Unterbau|490.00|m²|292.82|143480.00
322|Flachgründungen und Bodenplatten Holzbodenplatte als Holzrahmenbauelement mit integrierter Dämmumg und Diagonalschalung; alternativ als Brettsperrholzelemente (CLT) unterdämmt auf Stahlträgerrost 36-43cm hoch|252.00|m²|390.00|98280.00
323|Tiefgründungen Mikropfahlgründung (28 Stück) liefern und einbauen der Mikropfahlkonstruktion|204.00|m²|171.57|35000.00
329|Sonstiges zur KG 320 Einzelfundamente für die Stelen in Beton oder Granit (34 Stück)|34.00|m²|300.00|10200.00
330|Außenwände/Vertikale Baukonstruktionen, außen|330.00|m²|965.61|318650.00
331|Tragende Außenwände Außenwände in Holzbauweise aus Brettsperrholzelementen (CLT) inkl. Dämmung und Außenschalung in Lärche oder Weißtanne natur oder vorvergraut Innenseite in Sichtqualität Brettsperrholz|330.00|m²|390.00|128700.00
333|Außenstützen|260.00|m|120.00|31200.00
334|Außenwandöffnungen Fensterelemente mit Holzrahmen, teilweise zum Öfnnen, teilweise festverglast (Atrium) mit Drehtüren|215.00|m²|550.00|118250.00
338|Lichtschutz zur KG 330 Holzschiebeläden manuell bedienbar (27 Stück)|75.00|m²|540.00|40500.00
340|Innenwände/Vertikale Baukonstruktionen, innen|0.00|m²|0.00|89800.00
341|Tragende Innenwände Innenwände in Holzrahmebau inkl.Dämmung und Dreischichtplatte oder Gipskarton/Fermacell NUR tragende Innenwände gerechnet|140.00|m²|170.00|23800.00
342|Nichttragende Innenwände Brüstungen Laubengang/Balkon teilweise mit PV belegt( PV nicht im Preis enthalten) KEINE Glasbrüstungen|120.00|m²|400.00|48000.00
344|Innenwandöffnungen 3 Brandschutztüren im EG als Ganzglastüre (eine Doppelflügelige) eine Stahl - Brandschuztüre als fb/rs-Türe ausgeführt zum Technikraum|14.00|m²|1285.71|18000.00
350|Decken/Horizontale Baukonstruktionen|0.00|m²|0.00|163600.00
351|Deckenkonstruktionen Brettstapeldecke BSH 16cm OHNE Dämmung und Schüttung für Trittschall|460.00|m²|210.00|96600.00
352|Deckenöffnungen 6 Stück Holztreppen inkl. Brüstung /Handlauf vom OG ins DG (1.Rettungsweg) 1 Stück Holztreppe vom EG ins DG in F30 ausgeführt|21.00|m²|1666.67|35000.00
359|Sonstiges zur KG 350 statische Maßnahmen wie Unterzüge etc.|160.00|m²|200.00|32000.00
360|Dächer|0.00|m²|0.00|256080.00
361|Dachkonstruktionen Dachaufbau als Sparrendach inkl. Dämmung, Abdichtung, Dachrinnen, Kaminanschluß und Dachbegrünung; Innenseitig mit Dreischichtplatte verkleidet|380.00|m²|525.00|199500.00
362|Dachöffnungen Dachflächenfenster (10 Stück a 1.60x1.14m) RWA Fenster über Treppenraum im Atrium|22.00|m²|795.00|17490.00
365|Elementierte Dachkonstruktionen Atriumüberdachung|30.00|m²|995.00|29850.00
366|Lichtschutz zur KG 360 Außenliegende Verschattung an den Dachflächenfenstern|22.00|m²|420.00|9240.00
400|Bauwerk - Technische Anlagen NUR Grundinstallationen, Zuleitungen KEINE Bäderausstattung, keine Beleuchtung, keine Steckdosen, Lichtschalterabdeckungen etc KEINE Radiatoren - nur geschätze Kosten da keine Angaben von Haustechnik vorliegen -|756.00|BGF|323.10|244260.00
410|Abwasser-, Wasser-, Gasanlagen Grundinstallationen verlegen; Zuleitungen herstellen|756.00|BGF|59.52|45000.00
420|Wärmeversorgungsanlagen|756.00|BGF|125.66|95000.00
430|Raumlufttechnische Anlagen|756.00|BGF|40.00|30240.00
440|Elektrische Anlagen|756.00|BGF|52.91|40000.00
450|Kommunikations-, sicherheits- und informationstechnische Anlagen|756.00|BGF|20.00|15120.00
490|Sonstige Maßnahmen für technische Anlagen|756.00|BGF|25.00|18900.00
600|Ausstattung und Kunstwerke|756.00|BGF|0.00|0.00
700|Baunebenkosten Haustechnikplanerkosten nur geschätzt, da keine Angaben vorliegen|756.00|BGF|343.92|260000.00
800|Finanzierung|756.00|BGF|0.00|0.00

