Kostenberechnung,,,,,,,,,,,,,,
Original,,,,,,Original nachgerechnet,,,,Korrektur,,,,
KG-Nummer,Bezeichnung / Beschreibungen,Menge,Einheit,KKW [€],Kosten [€],,,,1581250,,,,1131417,
100,Grundstück,1043,GF,0,0,,,0,,,,0,,
200,Vorbereitende Maßnahmen,1043,GF,60,62580,,,62580,,,,31290,,50% Herrichten
210,Herrichten,1043,GF,40,41720,,41720,,,,41720,,,
230,Nichtöffentliche Erschließung Erschließungsarbeiten von der Straße zum Grundstück,1043,GF,20,20860,,20860,,,,20860,,,
300,Bauwerk - Baukonstruktionen,756,BGF,1341.81,1014410,,,1014410,,,,973910,,
310,Baugrube / Erdbau bestehendes Gelände ausheben und an anderer Stelle mit tragfähigem Boden aufschütten; sichern mit Stützmauer; Wasserspeichervertiefung ausheben,1070,m³,40,42800,,42800,,,,42800,,,
320,"Gründung, Unterbau",490,m²,292.82,143480,,143480,,,,143480,,,
322,Flachgründungen und Bodenplatten Holzbodenplatte als Holzrahmenbauelement mit integrierter Dämmumg und Diagonalschalung; alternativ als Brettsperrholzelemente (CLT) unterdämmt auf Stahlträgerrost 36-43cm hoch,252,m²,390,98280,98280,,,,98280,,,,
323,Tiefgründungen Mikropfahlgründung (28 Stück) liefern und einbauen der Mikropfahlkonstruktion,204,m²,171.57,35000,35000,,,,35000,,,,
329,Sonstiges zur KG 320 Einzelfundamente für die Stelen in Beton oder Granit (34 Stück),34,m²,300,10200,10200,,,,10200,,,,
330,"Außenwände/Vertikale Baukonstruktionen, außen",330,m²,965.61,318650,,318650,,,,278150,,,
331,Tragende Außenwände Außenwände in Holzbauweise aus Brettsperrholzelementen (CLT) inkl. Dämmung und Außenschalung in Lärche oder Weißtanne natur oder vorvergraut Innenseite in Sichtqualität Brettsperrholz,330,m²,390,128700,128700,,,,128700,,,,
333,Außenstützen,260,m,120,31200,31200,,,,31200,,,,
334,"Außenwandöffnungen Fensterelemente mit Holzrahmen, teilweise zum Öfnnen, teilweise festverglast (Atrium) mit Drehtüren",215,m²,550,118250,118250,,,,118250,,,,
338,Lichtschutz zur KG 330 Holzschiebeläden manuell bedienbar (27 Stück),75,m²,540,40500,40500,,,,0,,,,Keine Fensterlaeden
340,"Innenwände/Vertikale Baukonstruktionen, innen",0,m²,0,89800,,89800,,,,89800,,,
341,Tragende Innenwände Innenwände in Holzrahmebau inkl.Dämmung und Dreischichtplatte oder Gipskarton/Fermacell NUR tragende Innenwände gerechnet,140,m²,170,23800,23800,,,,23800,,,,
342,Nichttragende Innenwände Brüstungen Laubengang/Balkon teilweise mit PV belegt( PV nicht im Preis enthalten) KEINE Glasbrüstungen,120,m²,400,48000,48000,,,,48000,,,,
344,Innenwandöffnungen 3 Brandschutztüren im EG als Ganzglastüre(eine Doppelflüglige) eine Stahl - Brandschuztüre als fb/rs-Türe ausgeführt zum Technikraum,14,m²,1285.71,18000,18000,,,,18000,,,,
350,Decken/Horizontale Baukonstruktionen,0,m²,0,163600,,163600,,,,163600,,,
351,Deckenkonstruktionen Brettstapeldecke BSH 16cm OHNE Dämmung und Schüttung für Trittschall,460,m²,210,96600,96600,,,,96600,,,,
352,Deckenöffnungen 6 Stück Holztreppen inkl. Brüstung /Handlauf vom OG ins DG (1.Rettungsweg) 1 Stück Holztreppe vom EG ins DG in F30 ausgeführt,21,m²,1666.67,35000,35000,,,,35000,,,,
359,Sonstiges zur KG 350 statische Maßnahmen wie Unterzüge etc.,160,m²,200,32000,32000,,,,32000,,,,
360,Dächer,0,m²,0,256080,,256080,,,,256080,,,
361,"Dachkonstruktionen Dachaufbau als Sparrendach inkl. Dämmung, Abdichtung, Dachrinnen, Kaminanschluß und Dachbegrünung; Innenseitig mit Dreischichtplatte verkleidet",380,m²,525,199500,199500,,,,199500,,,,
362,Dachöffnungen Dachflächenfenster (10 Stück a 1.60x1.14m) RWA Fenster über Treppenraum im Atrium,22,m²,795,17490,17490,,,,17490,,,,
365,Elementierte Dachkonstruktionen Atriumüberdachung,30,m²,995,29850,29850,,,,29850,,,,
366,Lichtschutz zur KG 360 Außenliegende Verschattung an den Dachflächenfenstern,22,m²,420,9240,9240,,,,9240,,,,
400,"Bauwerk - Technische Anlagen NUR Grundinstallationen, Zuleitungen KEINE Bäderausstattung, keine Beleuchtung, keine Steckdosen, Lichtschalterabdeckungen etc KEINE Radiatoren - nur geschätze Kosten da keine Angaben von Haustechnik vorliegen -",756,BGF,323.1,244260,,,244256,,,,85000,,
410,"Abwasser-, Wasser-, Gasanlagen Grundinstallationen verlegen; Zuleitungen herstellen",756,BGF,59.52,45000,,44997,,,,40000,,,
420,Wärmeversorgungsanlagen,756,BGF,125.66,95000,,94999,,,,20000,,,Waermepumpen
430,Raumlufttechnische Anlagen,756,BGF,40,30240,,30240,,,,20000,,,Lueftung
440,Elektrische Anlagen,756,BGF,52.91,40000,,40000,,,,5000,,,Elektrisch
450,"Kommunikations-, sicherheits- und informationstechnische Anlagen",756,BGF,20,15120,,15120,,,,0,,,Kommunikation
490,Sonstige Maßnahmen für technische Anlagen,756,BGF,25,18900,,18900,,,,0,,,
600,Ausstattung und Kunstwerke,756,BGF,0,0,,,0,,,,0,,
700,"Baunebenkosten Haustechnikplanerkosten nur geschätzt, da keine Angaben vorliegen",756,BGF,343.92,260000,,,260004,,,,41217,,Baunebenkosten
800,Finanzierung,756,BGF,0,0,,,0,,,,0,,
,,,,,,,,,,,,,,
Zusammenfassung,,,,,,,,,,,,,,
,Anrechenbare Kosten,1131417.29,,,,,,,,,,,,
,Gesamthhonorar LPH 1-9,144242.84,,,,,,,,,,,,
,Honorar LPH 2-4 = 25%,36060.71,,,,,,,,,,,,
,Nebenkosten in Prozent,3.00,,,,,,,,,,,,
,Nebenkosten EUR,1081.82,,,,,,,,,,,,
,Honorar netto,37142.53,,,,,,,,,,,,
,MwSt in Prozent,19.00,,,,,,,,,,,,
,Honorar brutto,44199.61,,,,,,,,,,,,
