location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
19700101T0000,-5.119755
19700101T0100,-5.4397545
19700101T0200,-5.119755
19700101T0300,-4.849755
19700101T0400,-4.7197547
19700101T0500,-4.559755
19700101T0600,-4.539755
19700101T0700,-4.9397545
19700101T0800,-4.729755
19700101T0900,-4.749755
19700101T1000,-4.1497545
19700101T1100,-3.3497548
19700101T1200,-3.2297544
19700101T1300,-3.5397549
19700101T1400,-3.499755
19700101T1500,-3.459755
19700101T1600,-3.5297546
19700101T1700,-3.4897547
19700101T1800,-3.5697546
19700101T1900,-2.9797544
19700101T2000,-2.7497544
19700101T2100,-3.4297547
19700101T2200,-4.3597546
19700101T2300,-4.3797545
19700102T0000,-4.079755
19700102T0100,-4.389755
19700102T0200,-3.6597548
19700102T0300,-4.0697546
19700102T0400,-3.6897545
19700102T0500,-4.1997547
19700102T0600,-3.979755
19700102T0700,-3.6597548
19700102T0800,-3.8297548
19700102T0900,-3.5297546
19700102T1000,-3.1597548
19700102T1100,-1.7797545
19700102T1200,-1.9797546
19700102T1300,-2.0597544
19700102T1400,-2.1797547
19700102T1500,-1.8097545
19700102T1600,-1.8497547
19700102T1700,-2.0297546
19700102T1800,-2.1697545
19700102T1900,-3.0497546
19700102T2000,-4.1497545
19700102T2100,-5.6697545
19700102T2200,-5.329755
19700102T2300,-5.999755
19700103T0000,-6.4297547
19700103T0100,-6.639755
19700103T0200,-6.4397545
19700103T0300,-6.6597548
19700103T0400,-6.9697547
19700103T0500,-6.2797546
19700103T0600,-6.0297546
19700103T0700,-6.0297546
19700103T0800,-5.6097546
19700103T0900,-4.789755
19700103T1000,-3.8797545
19700103T1100,-0.50975454
19700103T1200,0.14024541
19700103T1300,0.5702454
19700103T1400,0.6902454
19700103T1500,1.0602454
19700103T1600,0.3002454
19700103T1700,-0.39975458
19700103T1800,-1.7297546
19700103T1900,-1.5297545
19700103T2000,-1.8097545
19700103T2100,-2.9297547
19700103T2200,-3.8897548
19700103T2300,-3.3797545
19700104T0000,-3.8397546
19700104T0100,-4.3997545
19700104T0200,-4.5497546
19700104T0300,-4.849755
19700104T0400,-5.079755
19700104T0500,-4.139755
19700104T0600,-3.3597546
19700104T0700,-3.3097544
19700104T0800,-2.7197547
19700104T0900,-1.8897547
19700104T1000,-1.1197546
19700104T1100,0.7102454
19700104T1200,0.7402454
19700104T1300,0.88024545
19700104T1400,1.0602454
19700104T1500,0.97024536
19700104T1600,1.1702454
19700104T1700,1.0402454
19700104T1800,0.6802454
19700104T1900,0.4802454
19700104T2000,0.2802454
19700104T2100,0.5602454
19700104T2200,0.8202454
19700104T2300,0.64024544
19700105T0000,0.7302454
19700105T0100,0.8702454
19700105T0200,0.97024536
19700105T0300,1.3102454
19700105T0400,1.7402455
19700105T0500,1.8002454
19700105T0600,2.7902455
19700105T0700,3.0902452
19700105T0800,3.3602452
19700105T0900,3.5402455
19700105T1000,3.5402455
19700105T1100,3.2102456
19700105T1200,3.3502455
19700105T1300,2.6802454
19700105T1400,2.0802455
19700105T1500,1.8702455
19700105T1600,1.5302454
19700105T1700,1.7202454
19700105T1800,1.1402454
19700105T1900,1.0502454
19700105T2000,1.1402454
19700105T2100,0.6002454
19700105T2200,0.3702454
19700105T2300,-1.3697546
19700106T0000,-1.5397545
19700106T0100,-1.8197545
19700106T0200,-1.9497546
19700106T0300,-4.119755
19700106T0400,-3.8797545
19700106T0500,-3.9397545
19700106T0600,-5.0697546
19700106T0700,-6.0697546
19700106T0800,-6.4497547
19700106T0900,-6.4297547
19700106T1000,-6.6597548
19700106T1100,-2.0797548
19700106T1200,-1.7597545
19700106T1300,-1.3997546
19700106T1400,-1.1897546
19700106T1500,-1.3497546
19700106T1600,-0.98975456
19700106T1700,-0.2697546
19700106T1800,-1.9797546
19700106T1900,-4.959755
19700106T2000,-7.309755
19700106T2100,-9.409755
19700106T2200,-10.409755
19700106T2300,-8.609755
19700107T0000,-8.669755
19700107T0100,-8.119755
19700107T0200,-8.169755
19700107T0300,-7.0497546
19700107T0400,-8.019754
19700107T0500,-7.829755
19700107T0600,-7.8897543
19700107T0700,-8.129755
19700107T0800,-8.399755
19700107T0900,-7.539755
19700107T1000,-6.3197546
19700107T1100,-3.1997547
19700107T1200,-2.3697548
19700107T1300,-1.8397547
19700107T1400,-1.6297547
19700107T1500,-1.8797547
